model_name,batch_size,use_activation_checkpointing,latency_ms_avg,latency_ms_std,peak_memory_bytes_avg,peak_memory_bytes_max,correctness_ok,output_dir,profiler_summary_path,plan_path,rewritten_profiler_summary_path
ResNet-152,1,False,275.9707999260475,2.6335506439208984,1254480896.0,1254480896.0,,outputs\final_runs_multi\ResNet-152\bs_1\baseline,outputs\final_runs_multi\ResNet-152\bs_1\baseline\profiler_summary.json,,
ResNet-152,1,True,318.1474666732053,26.752105712890625,1265490944.0,1265490944.0,True,outputs\final_runs_multi\ResNet-152\bs_1\ac,outputs\final_runs_multi\ResNet-152\bs_1\ac\profiler_summary.json,outputs\final_runs_multi\ResNet-152\bs_1\ac\checkpoint_plan.json,outputs\final_runs_multi\ResNet-152\bs_1\ac\rewritten_profiler_summary.json
ResNet-152,2,False,368.4682665237536,22.173925399780273,1542297600.0,1542297600.0,,outputs\final_runs_multi\ResNet-152\bs_2\baseline,outputs\final_runs_multi\ResNet-152\bs_2\baseline\profiler_summary.json,,
ResNet-152,2,True,474.46653340011835,67.86679077148438,1423415296.0,1423415296.0,True,outputs\final_runs_multi\ResNet-152\bs_2\ac,outputs\final_runs_multi\ResNet-152\bs_2\ac\profiler_summary.json,outputs\final_runs_multi\ResNet-152\bs_2\ac\checkpoint_plan.json,outputs\final_runs_multi\ResNet-152\bs_2\ac\rewritten_profiler_summary.json
ResNet-152,4,False,350.664999956886,35.266204833984375,2279168512.0,2279168512.0,,outputs\final_runs_multi\ResNet-152\bs_4\baseline,outputs\final_runs_multi\ResNet-152\bs_4\baseline\profiler_summary.json,,
ResNet-152,4,True,322.27239998367924,3.704557180404663,2053069312.0,2053069312.0,True,outputs\final_runs_multi\ResNet-152\bs_4\ac,outputs\final_runs_multi\ResNet-152\bs_4\ac\profiler_summary.json,outputs\final_runs_multi\ResNet-152\bs_4\ac\checkpoint_plan.json,outputs\final_runs_multi\ResNet-152\bs_4\ac\rewritten_profiler_summary.json
ResNet-152,6,False,450.5773001195242,6.477753639221191,2991856128.0,2991856128.0,,outputs\final_runs_multi\ResNet-152\bs_6\baseline,outputs\final_runs_multi\ResNet-152\bs_6\baseline\profiler_summary.json,,
ResNet-152,6,True,410.07730007792514,8.072355270385742,2789906944.0,2789906944.0,True,outputs\final_runs_multi\ResNet-152\bs_6\ac,outputs\final_runs_multi\ResNet-152\bs_6\ac\profiler_summary.json,outputs\final_runs_multi\ResNet-152\bs_6\ac\checkpoint_plan.json,outputs\final_runs_multi\ResNet-152\bs_6\ac\rewritten_profiler_summary.json
ResNet-152,8,False,439.32163327311474,14.568321228027344,3718371840.0,3718371840.0,,outputs\final_runs_multi\ResNet-152\bs_8\baseline,outputs\final_runs_multi\ResNet-152\bs_8\baseline\profiler_summary.json,,
ResNet-152,8,True,439.3326666516562,4.423868656158447,3410188800.0,3410188800.0,True,outputs\final_runs_multi\ResNet-152\bs_8\ac,outputs\final_runs_multi\ResNet-152\bs_8\ac\profiler_summary.json,outputs\final_runs_multi\ResNet-152\bs_8\ac\checkpoint_plan.json,outputs\final_runs_multi\ResNet-152\bs_8\ac\rewritten_profiler_summary.json
